time,delta_f,P_BESS,P_Wind,SoH,Shortfall
24.9,0.478087537933169,23.9912140058204,0.0673320545417586,0.799707133527348,1.56561168124299
25,0.477925211406499,23.9911420322865,0.0599651875955174,0.79970473440955,1.55129124149867
25.1,0.477762849450536,23.9910700589685,0.0525615169341624,0.79970233529895,1.53691480175054
25.2,0.477600919385396,23.9909980858664,0.0451230501809676,0.799699936195547,1.52248709498466
25.3,0.477439662437112,23.9909261129802,0.0376527233850361,0.799697537099341,1.50801267075844
25.4,0.477278983644946,23.9908541403099,0.0301537305136601,0.799695138010332,1.49349597019929
25.5,0.477118546486388,23.9907821678555,0.0226287325205601,0.799692738928518,1.47894132047937
25.6,0.476957993697502,23.9907101956171,0.0150794135889294,0.799690339853903,1.46435286804899
25.7,0.476797153341657,23.9906382235945,0.00750659803710652,0.799687940786484,1.44973450216365
25.8,0.476636114531365,23.9905662517879,-8.92037540771717e-05,0.799685541726263,1.43508981927396
25.9,0.476475145350458,23.9904942801971,-0.00770718067424703,0.799683142673238,1.42042214921105
26,0.476314518715187,23.9904223088223,-0.0153458936834505,0.79968074362741,1.40573462611799
26.1,0.476154356440112,23.9903503376634,-0.023003385792233,0.799678344588779,1.39103026338877
26.2,0.475994578137739,23.9902783667203,-0.0306776120057783,0.799675945557345,1.3763119942551
26.3,0.475834971448491,23.9902063959932,-0.0383669039619621,0.799673546533108,1.36158266361315
26.4,0.475675328988967,23.990134425482,-0.0460701986472793,0.799671147516067,1.34684498597222
26.5,0.475515565975776,23.9900624551867,-0.0537869276289453,0.799668748506223,1.3321015017028
26.6,0.475355753841206,23.9899904851073,-0.0615166691756844,0.799666349503577,1.31735456065737
26.7,0.475196060801086,23.9899185152438,-0.0692587884808442,0.799663950508127,1.30260634295271
26.8,0.475036644436472,23.9898465455962,-0.0770122709405179,0.799661551519874,1.28785890417191
26.9,0.474877563261256,23.9897745761645,-0.084775818852898,0.799659152538817,1.27311421969387
27,0.474718755375614,23.9897026069487,-0.0925481234283589,0.799656753564958,1.25837420623586
27.1,0.4745600882893,23.9896306379488,-0.100328134784589,0.799654354598295,1.24364071415891
27.2,0.474401442956851,23.9895586691649,-0.108115175165156,0.799651955638829,1.2289155013707
27.3,0.474242780024625,23.9894867005968,-0.115908848636589,0.79964955668656,1.2142002086986
27.4,0.474084152684162,23.9894147322446,-0.123708822164722,0.799647157741487,1.19949635323848
27.5,0.473925665236735,23.9893427641083,-0.131514617293879,0.799644758803611,1.18480534382627
27.6,0.473767407521558,23.989270796188,-0.139325528889265,0.799642359872932,1.17012850955094
27.7,0.473609405477493,23.9891988284835,-0.147140701020295,0.79963996094945,1.15546712577429
27.8,0.473451614069936,23.9891268609949,-0.154959296938869,0.799637562033164,1.14082242530434
27.9,0.473293951507037,23.9890548937222,-0.16278065412287,0.799635163124075,1.12619559221134
28,0.473136350276693,23.9889829266655,-0.170604337042795,0.799632764222183,1.11158774586939
28.1,0.472978793888434,23.9889109598246,-0.17843006915017,0.799630365327486,1.09699992736702
28.2,0.472821320104289,23.9888389931996,-0.186257596688221,0.799627966439987,1.08243309752588
28.3,0.47266399285722,23.9887670267905,-0.19408656947443,0.799625567559684,1.06788814795181
28.4,0.472506862632271,23.9886950605973,-0.201916503903708,0.799623168686578,1.05336591886048
28.5,0.47234993928349,23.9886230946201,-0.209746838730766,0.799620769820669,1.03886721423615
28.6,0.47219319128336,23.9885511288586,-0.2175770400665,0.799618370961955,1.02439280746453
28.7,0.472036568643069,23.9884791633132,-0.225406689248625,0.799615972110439,1.00994343676662
28.8,0.471880033591687,23.9884071979836,-0.233235505033651,0.799613573266119,0.995519795588258
28.9,0.471723580584682,23.9883352328698,-0.241063294870993,0.799611174428995,0.981122525288129
29,0.471567235530307,23.9882632679721,-0.248889871101804,0.799608775599068,0.966752215212345
29.1,0.471411037176472,23.9881913032901,-0.256714983614752,0.799606376776337,0.952409410360978
29.2,0.471255013418814,23.9881193388241,-0.26453830492653,0.799603977960803,0.938094622444538
29.3,0.471099166652583,23.9880473745739,-0.272359469450091,0.799601579152465,0.923808338651231
29.4,0.470943475424584,23.9879754105397,-0.280178137629552,0.799599180351323,0.909551024384463
29.5,0.470787909480774,23.9879034467214,-0.287994045002194,0.799596781557379,0.895323120072796
29.6,0.470632448013553,23.9878314831189,-0.295807009672107,0.799594382770629,0.88112503547537
29.7,0.470477090321397,23.9877595197323,-0.303616898609189,0.799591983991077,0.866957145877766
29.8,0.470321853717648,23.9876875565616,-0.311423576622567,0.799589585218721,0.852819792925658
29.9,0.470166761419827,23.9876155936068,-0.319226868880442,0.799587186453561,0.838713289827606
30,0.470011828532357,23.9875436308679,-0.327026556410546,0.799584787695597,0.824637928164314
31,0.468469982202424,23.9868240153525,-0.404787229475138,0.799560800511751,0.685648627953668
32,0.466941446923635,23.9861044214252,-0.482038244550277,0.799536814047508,0.549967378627237
33,0.46542613092197,23.985384849085,-0.558702385803216,0.799512828302833,0.417645581887843
34,0.463923951046769,23.9846652983316,-0.634736132872975,0.79948884327772,0.288657410861617
35,0.462434783811744,23.9839457691645,-0.710116376028306,0.799464858972149,0.162932907241188
36,0.460958512234744,23.9832262615829,-0.784832353133386,0.799440875386097,0.0403779631891616
37,0.459495031424867,23.9081464850038,-0.784520364679432,0.799416915804349,-0.00475338515656176
38,0.458044233936722,23.7907714342379,-0.741246372337808,0.79939306658706,-0.00463736719549601
39,0.456606010399091,23.6762409203992,-0.700153747312257,0.799369333313257,-0.00452581091022708
40,0.455180253252896,23.5644445055996,-0.661137121687545,0.799345713193826,-0.00441861879517091
41,0.453766856462345,23.4552747580009,-0.624094977365165,0.799322203548673,-0.00431565219190233
42,0.45236571448094,23.348628008256,-0.588930003783813,0.7992988018033,-0.00421675132086108
43,0.450976722539398,23.2444047130688,-0.555549224483867,0.799275505484832,-0.00412174737784099
44,0.449599776875542,23.1425095842322,-0.523863984100482,0.799252312217814,-0.00403046965535125
45,0.448234774596978,23.0428515798663,-0.493789856140789,0.799229219719951,-0.00394274967516495
46,0.446881613624284,22.945343816279,-0.465246507368402,0.799206225797904,-0.00385842354345556
47,0.445540192725102,22.8499034357964,-0.438157539266281,0.799183328343188,-0.00377733321713691
48,0.444210411515539,22.7564514518773,-0.41245031934653,0.79916052532823,-0.00369932711254961
49,0.442892170441234,22.664912584222,-0.388055810086815,0.799137814802575,-0.00362426032900487
50,0.441585370772507,22.5752150913648,-0.364908399852325,0.799115194889266,-0.00355199464688738
51,0.440289914601638,22.4872906051102,-0.342945738248147,0.799092663781386,-0.00348239839465592
52,0.439005704833345,22.4010739692929,-0.322108577271383,0.799070219738768,-0.003415346243127
53,0.437732645178668,22.3165030842012,-0.302340618942236,0.799047861084859,-0.00335071896305195
54,0.436470640152942,22.2335187573081,-0.283588369603599,0.799025586203742,-0.0032884031642304
55,0.435219595063191,22.1520645606345,-0.26580100095723,0.799003393537296,-0.00322829102983846
56,0.43397941600582,22.0720866946568,-0.24893021777027,0.798981281582504,-0.00317028005658315
57,0.432750009859117,21.9935338587102,-0.23293013187423,0.798959248888891,-0.00311427279705967
58,0.431531284278153,21.9163571276955,-0.217757142382154,0.79893729405608,-0.00306017661301183
59,0.430323147687506,21.8405098348288,-0.203369821816456,0.798915415731483,-0.00300790343911572
60,0.429125509276118,21.7659474601725,-0.189728807838785,0.798893612608098,-0.00295736955605364
61,0.427938278991019,21.6926275247068,-0.176796700367992,0.79887188342241,-0.00290849537447002
62,0.426761367530887,21.6205094896674,-0.164537963823474,0.798850226952408,-0.00286120522984845
63,0.42559468634068,21.5495546609031,-0.152918834203747,0.798828642015689,-0.0028154271860501
64,0.424438147606421,21.4797260980018,-0.141907230817817,0.798807127467658,-0.00277109284978749
65,0.423291664254871,21.4109885279653,-0.131472672349119,0.798785682199821,-0.00272813719158904
66,0.422155149925074,21.3433082632384,-0.121586197257413,0.79876430513816,-0.00268649838086432
67,0.421028518985506,21.2766531236309,-0.112220288122181,0.79874299524158,-0.00264611763054035
68,0.419911686529556,21.2109923623146,-0.10334879940877,0.798721751500446,-0.00260693903401688
69,0.418804568354264,21.1462965955876,-0.0949468892328857,0.798700572935183,-0.0025689094253103
70,0.417707080968327,21.082537736039,-0.0869909544562469,0.798679458594945,-0.00253197824486406
71,0.416619141577063,21.0196889290444,-0.0794585689367595,0.798658407556352,-0.00249609740822621
72,0.41554066807879,20.9577244924431,-0.0723284248828121,0.798637418922289,-0.00246122118249303
73,0.414471579065906,20.8966198592281,-0.0655802771310506,0.798616491820759,-0.00242730606915487
74,0.41341179381007,20.8363515231075,-0.0591948901794532,0.798595625403798,-0.00239431069150342
75,0.412361232261732,20.7768969867821,-0.0531539879040044,0.798574818846439,-0.00236219568959228
76,0.411319815046185,20.7182347127919,-0.0474402057579457,0.798554071345729,-0.00233092361976261
77,0.410287463454267,20.6603440768322,-0.0420370453363238,0.798533382119792,-0.00230045885809105
78,0.409264099440182,20.6032053233868,-0.036928831237788,0.79851275040694,-0.00227076751031419
79,0.408249645612402,20.5467995235809,-0.0321006700650326,0.79849217546482,-0.00224181732551898
80,0.407244025232467,20.4911085351286,-0.0275384114606818,0.798471656569614,-0.00221357761423491
81,0.40624716221011,20.4361149642806,-0.0232286110816793,0.79845119301527,-0.00218601917024941
82,0.405258981092882,20.3818021296714,-0.0191584954452625,0.798430784112766,-0.00215911419716974
83,0.404279407066127,20.3281540279589,-0.0153159284983627,0.798410429189425,-0.00213283623810767
84,0.403308365944882,20.2751553011815,-0.0116893798585809,0.798390127588244,-0.0021071601086291
85,0.40234578417061,20.2227912057422,-0.00826789465231492,0.798369878667271,-0.00208206183379644
86,0.401391588805267,20.1710475829321,-0.00504106483518495,0.798349681799,-0.00205751858763392
87,0.400445707527491,20.1199108309244,-0.00199900196058644,0.798329536369807,-0.0020335086362735
88,0.399508068624777,20.06936787816,0.000867688705363065,0.798309441779398,-0.00201001128348821
89,0.398578600991767,20.0194061580527,0.0035679327792798,0.798289397440298,-0.00198700681914232
90,0.397702520889598,19.9700268801155,0.00625471750382888,0.798269402776128,-0.00195993824434737
91,0.397050782450575,19.9221600405034,0.0109387469071925,0.798249456913139,-0.00185028181818936
92,0.396450964881828,19.8780673485725,0.016801929992842,0.798229557167592,-0.0016752675566174
93,0.39583686557878,19.8381834368163,0.0215795952521961,0.79820969935978,-0.00152307871373125
94,0.395216820217492,19.8015146832239,0.0248166031319214,0.798189879729676,-0.0014177371310673
95,0.394597770338612,19.7669888092955,0.0268937486631884,0.798170095619997,-0.00134932847071667
96,0.393980621610146,19.7338469155364,0.0282133793238235,0.798150345293722,-0.00130521218871138
97,0.393365978560167,19.7016023924687,0.0290576444387912,0.798130627629097,-0.00127628929020673
