time,delta_f,delta_f_COI,P_BESS,P_Wind,SoH,Shortfall
0,0,-0.00499999999999945,0,0,0.8,0
0.1,3.85215758236246e-05,-0.00493170835399459,2.93744434940982e-07,3.12311647260213e-05,0.8,5.29575568659133e-07
0.2,0.000107379630009952,-0.00468713461286852,5.42871972355907e-06,0.000172778578635501,0.8,4.29548222220764e-06
0.3,0.000324434508358618,-0.00422521691464395,2.75685552004773e-05,0.000575518079401871,0.799999999999999,1.53339923420192e-05
0.4,0.000820346081020773,-0.00357854255604861,9.9302700509378e-05,0.00171820747680384,0.799999999999998,4.73074875531679e-05
0.5,0.00164025123107758,-0.00280724654045938,0.000302833683353039,0.00433601367026829,0.799999999999993,0.000125550792690606
0.6,0.00270519495104704,-0.00196996407285654,0.000789724794845639,0.00910366044293161,0.799999999999979,0.000278137286127871
0.7,0.00385250800607473,-0.00110768735601674,0.00177135267679529,0.0163033588152636,0.799999999999944,0.00052284528725119
0.8,0.00492136308625213,-0.000240907507098598,0.00348094786446639,0.0256899578767783,0.799999999999873,0.000858717165955281
0.9,0.00582799739698436,0.00062270896438732,0.00612602758867307,0.0366214972927178,0.799999999999742,0.00126711730741661
1,0.00658893339029465,0.00147671237520353,0.00985458140012431,0.0483592012370013,0.799999999999523,0.00172098398258999
1.1,0.00728572943962669,0.00230757364794165,0.0147486961656964,0.060354983942979,0.799999999999183,0.00219637610235281
1.2,0.00799901179501794,0.00309389957808826,0.0208429147517331,0.0723739223978534,0.799999999998691,0.00267981925393771
1.3,0.00875390699878187,0.00381250694826418,0.0281517830715378,0.0844122694821039,0.799999999998013,0.00316815583961371
1.4,0.00950730899897945,0.00444676429569024,0.0366886859322787,0.0964938423209291,0.799999999997115,0.00366231162308291
1.5,0.0101790141857239,0.00499176443300997,0.0464662899428294,0.108486895307408,0.799999999995962,0.0041597092986729
1.6,0.0107023580447396,0.00545343890263061,0.0574816149516036,0.120051839077409,0.79999999999452,0.00465019491827681
1.7,0.0110614412358767,0.00584275560139291,0.0696978983532392,0.130736831356278,0.799999999992755,0.00511757923022176
1.8,0.0112944116705982,0.00616893132322494,0.0830360245642167,0.140146921966267,0.799999999990634,0.00554523731668974
1.9,0.0114653041939083,0.00643560576335522,0.097381123496814,0.148077742505682,0.799999999988128,0.00592196701659406
2,0.0116252605336875,0.00664161048349321,0.112600321297832,0.154539826140347,0.799999999985212,0.00624463571004474
2.1,0.0117873020970438,0.00678505276719976,0.128561623227896,0.159673843641541,0.799999999981861,0.00651649464971141
2.2,0.011927427927344,0.0068676870797757,0.145144590510311,0.163620758942387,0.799999999978058,0.0067427287680609
2.3,0.0120075485051052,0.00689681385760421,0.162239510531824,0.166428026770784,0.799999999973786,0.00692619937854511
2.4,0.0120036162974291,0.00688380086547591,0.17973885289025,0.168040103641582,0.799999999969033,0.00706579541726482
2.5,0.0119216233721964,0.00684045160762592,0.197528646922576,0.168365124526031,0.79999999996379,0.0071579299774176
2.6,0.01179366226291,0.00677555157297949,0.215486222308609,0.167365944406677,0.799999999958049,0.00719979267024623
2.7,0.0116590102896386,0.00669351208474889,0.233485934809621,0.165116554441661,0.799999999951808,0.00719212704612254
2.8,0.0115433236195173,0.00659556282106566,0.251409386595706,0.161793304216316,0.799999999945068,0.00713988642724339
2.9,0.0114483921980713,0.00648240819885459,0.269154288167139,0.157612910233143,0.799999999937832,0.00705059392435808
3,0.0113570359293047,0.00635655810521385,0.286637514901511,0.15275905010835,0.799999999930106,0.00693160998931841
3.1,0.0112481964764877,0.00622298333795568,0.30379175515066,0.147340587316904,0.799999999921898,0.00678799667976465
