time,delta_f,P_BESS,P_Wind,SoH,Shortfall
0,0,0,0,1,0
0.1,3.85233069111202e-05,2.44788158311077e-07,2.60268153247279e-05,0.999999999999562,4.41316300795614e-07
0.2,0.000107397197418591,4.52408997035036e-06,0.000143999581625403,0.999999999982102,3.5797754407463e-06
0.3,0.000324508943821966,2.29759210542045e-05,0.000479703326962625,0.999999999863152,1.2780099791149e-05
0.4,0.000820596137940388,8.27651765792151e-05,0.00143225943598139,0.999999999388518,3.94310877968554e-05
0.5,0.00164097080286862,0.000252416292994034,0.0036147228783576,0.999999997845883,0.000104654824809812
0.6,0.002706960997928,0.000658293916387231,0.00759025674755455,0.999999993553311,0.000231869087396731
0.7,0.00385624865678613,0.00147669064742382,0.0135955694034614,0.999999983297854,0.000435933706908315
0.8,0.00492835589940288,0.002902253233592,0.0214285444928426,0.999999961979548,0.00071612026663073
0.9,0.00583980445323928,0.00510840389415926,0.0305568642583438,0.999999922627622,0.00105699109195284
1,0.00660730774657559,0.00821920826981157,0.0403677309804591,0.999999856769404,0.00143610094878518
1.1,0.00731253124022779,0.0123040855306489,0.0504071876263383,0.999999754970277,0.00183360900236051
1.2,0.00803615403988101,0.0173931053468379,0.0604819975144024,0.999999607316316,0.00223839172215847
1.3,0.0088033257267639,0.0234999240417702,0.0705912401916044,0.999999403692787,0.00264791267064911
1.4,0.00957093725423852,0.0306374521337184,0.0807566067681291,0.999999133859124,0.00306302561676469
1.5,0.0102587413987221,0.0388181903066216,0.0908697581966743,0.99999878744157,0.00348165119745518
1.6,0.0107999716544127,0.0480417518472372,0.100648682660856,0.999998353992626,0.00389538020479124
1.7,0.0111785631802641,0.0582797057627446,0.109717255823851,0.999997823198388,0.00429075480430177
1.8,0.0114324479278838,0.0694683823311566,0.117746118061454,0.999997185204661,0.00465393154826071
1.9,0.0116254183910258,0.0815143126095954,0.124564067667947,0.999996430952277,0.00497556147973445
2,0.0118083691828974,0.094308959575226,0.130178381763259,0.999995552405995,0.00525299621665826
2.1,0.0119940791701745,0.107744396515661,0.13470427519491,0.999994542623859,0.00548888568904825
2.2,0.0121583064676467,0.121722154524236,0.138256791766527,0.999993395699155,0.00568747292602653
2.3,0.0122627155305866,0.136152489025193,0.140872703090027,0.999992106662152,0.00585104919818971
2.4,0.0122830073036428,0.150947224030552,0.142502644294326,0.999990671425794,0.00597858212859925
2.5,0.0122249269234487,0.166012535587479,0.143066722853624,0.999989086808715,0.00606696456502751
2.6,0.0121203408878889,0.181247042738742,0.142530459678596,0.9999873506069,0.0061137272184042
2.7,0.0120083347290079,0.196546559953029,0.14095190998791,0.999985461650305,0.00611935661925816
2.8,0.0119144101849766,0.211812604803617,0.138474470776071,0.999983419789497,0.00608784589817279
2.9,0.0118402326977407,0.226959784354854,0.135275326582406,0.999981225798856,0.00602533227491434
3,0.0117685162517644,0.241918352929915,0.131504343692093,0.999978881228173,0.0059378231140001
3.1,0.0116781085950424,0.256631435508282,0.127249284084135,0.999976388256367,0.00582941786903618
3.2,0.0115589992730425,0.271049489716994,0.122543008441647,0.999973749589753,0.00570195614257746
3.3,0.0114184193302447,0.285125739376031,0.117401629533265,0.999970968413722,0.00555606144011012
3.4,0.0112756646295009,0.298815130067043,0.111866003044144,0.999968048373616,0.00539273778061022
3.5,0.0111502513121142,0.312076847692384,0.106020906225238,0.999964993547207,0.00521447141897607
3.6,0.011051314085847,0.324878264663705,0.0999830631883908,0.999961808382554,0.00502523051310716
3.7,0.0109743441792542,0.337197571893933,0.0938688833874871,0.999958497600957,0.00482949342088934
3.8,0.0109062063955778,0.349023459806012,0.0877633733853792,0.999955066087764,0.00463099572703618
3.9,0.0108343716483716,0.360352141616054,0.081708170488503,0.99995151880067,0.00443196190942735
4,0.0107543774510832,0.371183516237256,0.0757130346007749,0.999947860713876,0.00423320146004902
4.1,0.0106713922175594,0.381518517843894,0.069780822754417,0.999944096796117,0.0040348920212977
4.2,0.0105957924962707,0.391358718170825,0.0639294777171261,0.999940232004197,0.00383749516883886
4.3,0.0105361961174832,0.400707780704253,0.0581986353325592,0.999936271270365,0.00364225090454656
4.4,0.0104944194076806,0.409573341564233,0.0526392524011825,0.999932219471672,0.00345102277357834
4.5,0.0104650821059094,0.417967851197782,0.0472949075542895,0.999928081384745,0.0032656806068056
4.6,0.0104394729264823,0.425907742431976,0.0421871739998413,0.999923861640474,0.00308745578366321
4.7,0.0104108300015449,0.433411384378205,0.0373133868620043,0.999919564693833,0.00291666150037645
4.8,0.010377743925738,0.440496957180369,0.0326566979598878,0.999915194815583,0.00275290242055442
4.9,0.0103439452900367,0.447181298185801,0.0282010890477138,0.999910756101009,0.00259559306274565
5,0.0103151039890281,0.453480078708108,0.0239420911505049,0.999906252483477,0.00244444711648029
5.1,0.010294939842781,0.459408861822747,0.0198877416913399,0.999901687741192,0.00229966296551798
5.2,0.010283033361036,0.464984157466254,0.0160507937880182,0.999897065492631,0.00216174677341141
5.3,0.0102753959584589,0.470223735555995,0.0124381873000867,0.999892389184728,0.00203113539714672
5.4,0.0102670877855926,0.475146016375873,0.00904456180740643,0.999887662082658,0.00190787641935103
5.5,0.010255062129455,0.479768944307495,0.00585326307757467,0.999882887268807,0.00179155303435036
5.6,0.0102395305734526,0.484109016573439,0.00284338897994062,0.999878067652782,0.00168147091280518
5.7,0.0102232470487129,0.488180970555968,-1.95657469851535e-06,0.999873205988079,0.00157696683358688
5.8,0.0102094160777777,0.491998189841063,-0.00269110267580982,0.999868304888152,0.00147764564907216
5.9,0.010199643595532,0.495573469233454,-0.00522501805590173,0.999863366836198,0.00138342012772724
6,0.0101931292863733,0.498919626676377,-0.00760269780801751,0.999858394187681,0.0012943607894777
6.1,0.0101874041284866,0.502049618439822,-0.00982691500844242,0.999853389169055,0.00121047313181333
6.2,0.0101799653138113,0.504976160167391,-0.0119068441786289,0.999848353877962,0.00113154576174912
6.3,0.010169720944192,0.507711152332578,-0.0138563968132599,0.999843290288519,0.00105715104097181
6.4,0.0101574178373975,0.510265287097432,-0.0156898044751659,0.999838200261704,0.000986778419591938
6.5,0.0101449378081486,0.512648058215028,-0.0174174055548191,0.99983308555775,0.000920004816474251
6.6,0.0101340298664265,0.514868130092234,-0.0190440757782995,0.999827947846494,0.000856597337993703
6.7,0.0101253003862434,0.51693381799707,-0.0205708589882195,0.999822788713234,0.000796497509515048
6.8,0.0101180190399452,0.518853400576783,-0.0219983999910665,0.999817609660437,0.00073971267726125
6.9,0.0101107417666169,0.520635122890664,-0.0233299161946726,0.999812412107826,0.000686191190493623
7,0.0101022709492582,0.522286949497193,-0.0245720297091024,0.99980719739382,0.00063575688346118
7.1,0.010092340278206,0.52381626551391,-0.0257332737557466,0.999801966779877,0.000588133004578494
7.2,0.0100816579112095,0.525229726214839,-0.0268214839119112,0.999796721457226,0.000543028860714445
7.3,0.0100713696918275,0.526533339743994,-0.0278417767094301,0.999791462553936,0.000500229120382389
7.4,0.0100623373487874,0.52773271750473,-0.0287962397061284,0.999786191140214,0.000459632343124738
7.5,0.0100546816094838,0.528833335779094,-0.0296852955627158,0.999780908231007,0.000421222500440632
7.6,0.0100478227068823,0.529840665689933,-0.0305097217530333,0.999775614786554,0.000384998934871094
7.7,0.0100409261630297,0.530760124480665,-0.0312720602365254,0.999770311712549,0.000350911209173521
7.8,0.0100334357889142,0.531596911570137,-0.031976683012989,0.999764999861453,0.000318836085398843
7.9,0.0100253680956619,0.532355850907521,-0.0326286704099633,0.999759680035512,0.000288604001613235
8,0.0100172274559551,0.533041339801779,-0.0332323354825726,0.999754352990882,0.000260052297113456
8.1,0.0100096439646091,0.533657427083327,-0.0337903210795107,0.999749019441594,0.000233069840392952
8.2,0.0100029853060457,0.534207963363086,-0.0343037309793409,0.999743680062312,0.000207607654901576
8.3,0.00999717486742657,0.534696730826185,-0.0347730833783004,0.99973833548961,0.000183653675990381
8.4,0.00999179512153336,0.535127484105595,-0.0351994187474282,0.999732986322372,0.000161191186320297
8.5,0.00998637652187551,0.53550389498899,-0.0355848936687897,0.999727633122271,0.000140167447502781
8.6,0.00998067657704271,0.535829450894511,-0.0359325855578089,0.999722276415103,0.000120489444919381
8.7,0.00997478629134463,0.536107377080898,-0.0362457347158487,0.99971691669306,0.000102045411725759
8.8,0.0099690250889628,0.536340628717972,-0.0365269497996905,0.999711554417458,8.47358274944643e-05
8.9,0.00996371519720318,0.536531951268398,-0.0367778517486164,0.999706190021179,6.84942625862606e-05
