time,delta_f,P_BESS,P_Wind,SoH,Shortfall
23.5,0.480348824768667,25.7543519134398,-1.59155712674414,0.972858753381164,0
23.6,0.480183562940906,25.7414150951714,-1.58525927450587,0.9726012744107,0
23.7,0.480019841142026,25.728318534908,-1.57888500992809,0.972343925615299,0
23.8,0.479857635505132,25.7150720763874,-1.57243640066061,0.97208670854302,0
23.9,0.479696140289199,25.70168541053,-1.56591625919261,0.971829624644257,0
24,0.479534320184605,25.6881679887329,-1.55932955612089,0.971572675273554,0
24.1,0.479371526982214,25.6745288164599,-1.55268328190575,0.971315861692985,0
24.2,0.479207821780814,25.6607762716798,-1.54598502931579,0.971059185077607,0
24.3,0.47904385467219,25.6469180606062,-1.53924126410556,0.970802646522087,0
24.4,0.478880423588746,25.632961330961,-1.53245631240749,0.970546247046967,0
24.5,0.478718002052836,25.6189128703375,-1.52563256136751,0.970289987603282,0
24.6,0.478556508451888,25.6047792769916,-1.51877161882955,0.970033869075239,0
24.7,0.478395419180488,25.5905670191515,-1.5118756621123,0.969777892281707,0
24.8,0.478234119884363,25.5762823720343,-1.50494819055812,0.969522057977747,0
24.9,0.478072266163859,25.5619312922501,-1.49799383021247,0.969266366857156,0
25,0.477909947198629,25.547519317322,-1.49101742079073,0.969010819556207,0
25.1,0.477747582806126,25.5330515527937,-1.4840229958943,0.96875541665799,0
25.2,0.477585644612255,25.5185327516163,-1.47701325455575,0.968500158696397,0
25.3,0.477424381272207,25.503967437021,-1.46998977026678,0.968245046159036,0
25.4,0.477263703739028,25.489360000835,-1.46295373386287,0.967990079488999,0
25.5,0.477103276672786,25.4747147310279,-1.45590674690702,0.967735259085967,0
25.6,0.476942739130637,25.4600357678122,-1.44885121140994,0.967480585307424,0
25.7,0.476781913292323,25.4453270280854,-1.44179014608203,0.967226058470505,0
25.8,0.476620883775103,25.4305921509455,-1.43472660618979,0.966971678854544,0
25.9,0.476459917928879,25.4158344983834,-1.42766308840385,0.966717446703892,0
26,0.476299291644144,25.4010572094566,-1.42060126453645,0.966463362230457,0
26.1,0.476139131258851,25.3862632757315,-1.41354215921078,0.966209425615552,0
26.2,0.475979359680206,25.3714555973022,-1.40648661966031,0.96595563701106,0
26.3,0.475819764871788,25.3566369944192,-1.39943577758359,0.965701996540255,0
26.4,0.475660136963491,25.3418101778297,-1.39239124348772,0.965448504298719,0
26.5,0.475500387617905,25.3269777038649,-1.3853549574627,0.965195160355664,0
26.6,0.475340585789796,25.3121419456618,-1.37832882508014,0.964941964755644,0
26.7,0.47518089956417,25.2973050987445,-1.37131437392198,0.964688917520389,0
26.8,0.475021488521532,25.2824692172376,-1.36431262603939,0.96443601865042,0
26.9,0.474862413901195,25.2676362598102,-1.35732423500609,0.964183268126226,0
27,0.474703615606625,25.2528081212515,-1.35034977953734,0.963930665909047,0
27.1,0.474544961105988,25.237986636514,-1.34339002935451,0.963678211941464,0
27.2,0.4743863297063,25.2231735611762,-1.33644603689081,0.963425906148085,0
27.3,0.47422767992793,25.2083705450954,-1.32951902521412,0.963173748436471,0
27.4,0.474069063620125,25.1935791177432,-1.32261016213395,0.962921738698282,0
27.5,0.473910585191933,25.1788006947031,-1.31572036440753,0.962669876810467,0
27.6,0.473752335798677,25.1640366014861,-1.30885024140005,0.962418162636293,0
27.7,0.473594343003259,25.1492881012973,-1.30200019485036,0.962166596026106,0
27.8,0.473436562736096,25.1345564126342,-1.2951706003666,0.961915176817847,0
27.9,0.473278913038355,25.119842709988,-1.28836195859917,0.96166390483749,0
28,0.47312132532551,25.1051481112534,-1.28157493475532,0.961412779899531,0
28.1,0.472963781847263,25.0904736625021,-1.27481027849695,0.961161801807637,0
28.2,0.472806319655172,25.075820330896,-1.26806868533174,0.960910970355408,0
28.3,0.472649002856335,25.0611890104968,-1.26135068654276,0.960660285327148,0
28.4,0.472491882785797,25.0465805377193,-1.25465662789351,0.960409746498522,0
28.5,0.472334970255439,25.0319957079954,-1.24798673944723,0.960159353637049,0
28.6,0.472178234240761,25.0174352854665,-1.2413412465796,0.959909106502453,0
28.7,0.472021624567709,25.0029000024109,-1.23472045476135,0.959659004846973,0
28.8,0.471865102777141,24.9883905512931,-1.22812476372336,0.959409048415713,0
28.9,0.471708662585668,24.9739075761151,-1.22155461217873,0.959159236947093,0
29,0.471552329535618,24.9594516692805,-1.21501039368742,0.95890957017335,0
29.1,0.471396142544078,24.9450233762342,-1.2084923957648,0.958660047821038,0
29.2,0.47124013004774,24.9306232053783,-1.20200079477631,0.95841066961145,0
29.3,0.471084295000251,24.9162516380082,-1.19553570340207,0.95816143526094,0
29.4,0.470928616200772,24.9019091335832,-1.18909723784467,0.957912344481158,0
29.5,0.470773063233998,24.8875961288257,-1.18268556463329,0.957663396979271,0
29.6,0.470617614857477,24.8733130327945,-1.17630090331597,0.957414592458211,0
29.7,0.470462269940047,24.8590602220746,-1.16994348932288,0.95716593061698,0
29.8,0.470307045614599,24.8448380396164,-1.16361352344407,0.956917411150984,0
29.9,0.470151965237792,24.8306467982118,-1.15731113878597,0.956669033752353,0
30,0.469997044253767,24.8164867867968,-1.15103640236347,0.956420798110216,0
31,0.468455323428768,24.6766553532129,-1.08982203717278,0.95394616812441,0
32,0.466926914443982,24.54013908796,-1.03141205228564,0.951485356385652,0
33,0.465411723788794,24.4069884225019,-0.975777769943488,0.949038028029413,0
34,0.463909668405937,24.2771768074329,-0.922848097463516,0.946603847344702,0
35,0.462420624833038,24.1506337396279,-0.872528913972522,0.944182483683456,0
36,0.46094447588923,24.0272646943469,-0.824714727045473,0.941773614776128,0
37,0.459481116631472,23.9069630886433,-0.77929551935816,0.939376928484573,0
38,0.458030439743795,23.7896174112496,-0.736160819512516,0.936992123620229,0
39,0.456592335750361,23.6751154202704,-0.695202080434474,0.934618910208419,0
40,0.455166697140946,23.5633465730224,-0.656313993947294,0.932257009428731,0
41,0.453753417879621,23.4542033950858,-0.619395177385851,0.929906153369872,0
42,0.452352392422312,23.3475822115128,-0.584348497563603,0.927566084682206,0
43,0.450963516011232,23.2433834947339,-0.55108117599881,0.925236556177992,0
44,0.449586684891023,23.1415119842387,-0.519504763241019,0.922917330409222,0
45,0.448221796177123,23.0418766722158,-0.489535039282945,0.920608179240799,0
46,0.446868747798901,22.9443907120635,-0.461091873660629,0.918308883429364,0
47,0.445527438530757,22.8489712842145,-0.434099064526252,0.916019232213635,0
48,0.444197767997706,22.7555394400747,-0.408484168704124,0.913739022919382,0
49,0.442879636654009,22.6640199364611,-0.384178330030663,0.911468060580569,0
50,0.441572945776703,22.5743410678197,-0.361116110108079,0.909206157577201,0
51,0.440277597465477,22.486434500471,-0.339235323726104,0.906953133289879,0
52,0.438993494634637,22.4002351112861,-0.318476880180728,0.904708813770725,0
53,0.437720541000303,22.3156808320937,-0.298784631181077,0.902473031430153,0
54,0.4364586410876,22.2327125004274,-0.280105225461234,0.900245624738894,0
55,0.435207700211881,22.1512737169339,-0.262387970113315,0.89802643794461,0
56,0.433967624472914,22.0713107093245,-0.245584698637834,0.895815320802436,0
